"id","district","sch","exp_group","poverty_school","s3","s3npr","f3","f3npr","grade_fall2013","many13","s13_10","s13_11","s13_12","often13","family13","s13_15","s13_16","ethnicity_new","frl_new","lep_new","gender_new","s4","s4npr","tri14","teach","f4","many14","often14","s14_6","s14_7","s14_8","s14_9","s14_10","s14_11","family14","s14_13","s14_14","s14_15"
"WA-1906","WA","920488 ","READS         ",1,154,20,152,12,3,1,6,1,2,1,2,NA,1,"Black",1,0,2,170,25,0,"800039",170,6,3,6,3,1,3,2,2,NA,3,2,4
"WA-1907","WA","920488 ","Control (Math)",1,151,15,143,4,3,10,5,6,2,4,3,1,1,"White",1,0,2,NA,NA,0,"800032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-1908","WA","920488 ","Control (Math)",1,158,28,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Hispanic",1,1,1,170,25,0,"800032",168,9,3,4,2,4,3,4,3,3,4,3,3
"WA-1911","WA","920488 ","READS         ",1,168,50,159,21,3,10,4,1,2,4,1,4,1,"Hispanic",1,1,1,175,33,0,"800039",154,6,4,1,4,4,4,5,1,4,2,1,3
"WA-1913","WA","920488 ","Control (Math)",1,171,56,168,36,3,11,1,4,6,4,4,4,4,"Black",1,0,1,181,43,6,"800032",187,6,3,6,3,3,3,3,3,2,4,4,3
"WA-1916","WA","920488 ","Control (Math)",1,212,96,170,39,3,NA,NA,NA,NA,NA,NA,NA,NA,"Black",1,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-1917","WA","920488 ","READS         ",1,184,77,190,74,3,11,1,6,2,4,2,3,1,"White",1,0,2,NA,NA,3,"800039",217,3,1,2,2,1,2,2,3,1,2,1,1
"WA-1919","WA","920488 ","READS         ",1,168,50,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Black",1,0,2,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-1921","WA","920488 ","READS         ",1,179,70,180,58,3,NA,NA,NA,NA,NA,NA,NA,NA,"Other",0,0,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-1922","WA","920488 ","Control (Math)",1,190,58,185,39,4,6,1,3,5,3,1,2,2,"Black",1,0,1,214,67,4,"800393",215,3,1,6,2,1,2,2,1,1,2,2,1
"WA-1925","WA","920488 ","READS         ",1,219,88,238,94,4,11,2,2,5,4,2,2,1,"White",0,0,1,262,98,5,"800482",261,10,3,3,3,2,NA,NA,NA,NA,NA,NA,NA
"WA-1927","WA","920488 ","READS         ",1,235,96,238,94,4,8,1,6,6,4,3,1,1,"White",0,0,1,246,92,2,"800482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-1928","WA","920488 ","READS         ",1,226,92,238,94,4,2,1,1,1,1,1,4,1,"White",0,0,1,254,95,3,"800482",271,2,1,2,1,1,3,2,5,1,4,1,1
"WA-1929","WA","920488 ","Control (Math)",1,170,25,168,17,4,2,1,2,2,1,4,2,1,"Hispanic",1,1,2,203,54,0,"800393",183,3,2,1,1,1,3,1,2,1,1,1,2
"WA-1931","WA","920488 ","READS         ",1,195,65,230,90,4,3,1,1,1,3,1,1,1,"Black",1,0,1,211,64,0,"800482",241,6,4,1,4,3,3,3,3,2,4,1,1
"WA-1932","WA","920488 ","Control (Math)",1,181,43,189,45,4,10,2,1,1,4,1,4,1,"Hispanic",1,0,1,195,42,0,"800393",204,3,5,6,4,2,5,5,5,1,3,1,4
"WA-1933","WA","920488 ","Control (Math)",1,165,19,163,13,4,11,1,6,6,4,3,1,4,"White",0,0,2,214,67,4,"800393",185,11,4,6,4,3,5,5,4,1,1,1,1
"WA-1934","WA","920488 ","Control (Math)",1,168,23,176,26,4,3,1,4,3,3,3,3,3,"Other",1,1,2,193,39,8,"800393",175,6,3,6,2,3,2,3,2,1,2,2,2
"WA-1935","WA","920488 ","Control (Math)",1,192,61,217,81,4,11,1,3,1,4,3,2,2,"Other",0,0,1,237,86,2,"800393",241,3,3,2,3,2,3,3,4,1,3,2,1
"WA-1936","WA","920488 ","READS         ",1,153,7,160,10,4,1,2,1,2,1,1,2,1,"Black",1,0,2,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-1941","WA","920488 ","READS         ",1,226,92,199,60,4,7,4,3,4,3,2,1,2,"White",1,0,2,203,54,4,"800482",191,6,3,1,1,2,2,3,1,1,2,3,1
"WA-1942","WA","920488 ","READS         ",1,181,43,192,50,4,4,1,6,1,4,3,4,2,"Hispanic",1,0,2,175,19,0,"800482",180,10,4,1,3,3,3,4,2,3,3,2,2
"WA-1943","WA","920488 ","Control (Math)",1,198,69,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"Hispanic",1,0,1,220,73,0,"800393",224,3,2,1,NA,2,3,3,3,3,2,1,3
"WA-1948","WA","920403B","Control (Math)",1,175,33,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"Black",0,0,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-1951","WA","920560 ","Control (Math)",2,192,86,184,65,3,10,1,5,NA,4,1,4,4,"Hispanic",1,1,1,205,76,0,"800399",223,11,5,1,4,4,4,3,5,4,4,3,4
"WA-1952","WA","920560 ","READS         ",2,179,70,184,65,3,11,6,2,1,4,4,4,1,"Black",1,0,1,219,88,0,"800282",230,11,5,6,5,5,5,4,5,4,1,1,4
"WA-1960","WA","920560 ","READS         ",2,NA,NA,205,89,3,2,4,1,1,2,1,1,1,"White",0,0,2,245,99,2,"800282",238,1,1,1,1,2,1,1,1,1,3,1,1
"WA-1961","WA","920560 ","Control (Math)",2,174,62,173,44,3,7,1,2,3,4,4,4,1,"Hispanic",1,1,1,184,48,2,"800399",189,4,3,2,3,2,3,4,4,3,1,1,3
"WA-1962","WA","920560 ","READS         ",2,157,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White",0,0,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-1964","WA","920560 ","Control (Math)",2,174,62,176,50,3,7,NA,NA,6,2,NA,3,1,"Black",1,0,2,192,61,0,"800399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-1967","WA","920560 ","Control (Math)",2,224,99,224,98,3,11,1,6,6,4,3,2,1,"White",0,0,2,219,88,9,"800399",230,11,4,5,3,2,4,4,3,2,2,2,3
"WA-1968","WA","920560 ","READS         ",2,174,62,190,74,3,11,5,5,4,4,3,4,1,"Black",0,0,1,190,58,3,"800282",230,4,3,3,1,3,4,5,3,1,2,1,1
"WA-1971","WA","920320 ","Control (Math)",1,201,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",0,0,2,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-1972","WA","920320 ","Control (Math)",1,210,81,207,71,4,11,1,6,6,3,1,3,1,"White",0,0,1,237,86,8,"800239",219,3,3,4,3,1,1,1,5,2,1,1,2
